blz,bic
27090900,GENODEF1P02
27092555,GENODEF1WFV
27131300,GENODEF1RTS
27240004,COBADEFFXXX
27290087,GENODEF1HMV
27893359,GENODEF1BLG
27893760,GENODEF1SES
28000000,MARKDEF1280
28020050,OLBODEH2XXX
28021002,OLBODEH2XXX
28021301,OLBODEH2XXX
28021504,OLBODEH2XXX
28021623,OLBODEH2XXX
28021705,OLBODEH2XXX
28021906,OLBODEH2XXX
28022015,OLBODEH2XXX
28022412,OLBODEH2XXX
28022511,OLBODEH2XXX
28022620,OLBODEH2XXX
28022822,OLBODEH2XXX
28023224,OLBODEH2XXX
28023325,OLBODEH2XXX
28030300,FORTDEH4XXX
28040046,COBADEFFXXX
28042865,COBADEFFXXX
28050100,SLZODE22XXX
28060228,GENODEF1OL2
28061410,GENODEF1BRN
28061501,GENODEF1CLP
28061679,GENODEF1DAM
28061822,GENODEF1EDE
28062165,GENODEF1RSE
28062249,GENODEF1HUD
28062299,GENODEF1HUD
28062560,GENODEF1LON
28062740,GENODEF1GBH
28062913,GENODEF1BSL
28063253,GENODEF1WRE
28063526,GENODEF1ESO
28063607,GENODEF1BAM
28064179,GENODEF1VEC
28064241,GENODEF1NHE
28065061,GENODEF1LOG
28065108,GENODEF1DIK
28065286,GENODEF1SAN
28066103,GENODEF1VIS
28066214,GENODEF1WDH
28066620,GENODEF1FOY
28067068,GENODEF1NEO
28067170,GENODEF1GSC
28067257,GENODEF1LAP
28068218,GENODEF1BUT
28069052,GENODEF1ORF
28069092,GENODEF1HAT
28069109,GENODEF1EMK
28069128,GENODEF1GRR
28069138,GENODEF1VAG
28069293,GENODEF1BBH
28069381,GENODEF1WLT
28069706,GENODEF1BOG
28069755,GENODEF1MLO
28069773,GENODEF1WWM
28069878,GENODEF1KBL
28069926,GENODEF1HOO
28069935,GENODEF1LRU
28069956,GENODEF1NEV
28069991,GENODEF1LTH
28069994,GENODEF1SPL
28070024,DEUTDEDB280
28070024,DEUTDEDB281
28070057,DEUTDEHB280
28070057,DEUTDEHB281
28220026,OLBODEH2XXX
28222208,OLBODEH2XXX
28222621,OLBODEH2XXX
28240023,COBADEFFXXX
28250110,BRLADE21WHV
28252760,BRLADE21WTM
28262254,GENODEF1JEV
28262673,GENODEF1VAR
28270024,DEUTDEDB282
28270024,DEUTDEDB283
28270056,DEUTDEHB282
28270056,DEUTDEHB283
28280012,DRESDEFF282
28290063,GENODEF1WHV
28291551,GENODEF1ESE
28320014,OLBODEH2XXX
28321816,OLBODEH2XXX
28350000,BRLADE21ANO
28361592,GENODEF1MAR
28420007,OLBODEH2XXX
28421030,OLBODEH2XXX
28440037,COBADEFFXXX
28450000,BRLADE21EMD
28470024,DEUTDEDB284
